epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,1153.64,2.13289,1.47855,0.9653,0.44152,0.52778,0.42353,0.16186,1.75688,5.28121,0.85564,0.0010496,0.0010496,0.0010496
146,1159.53,2.13414,1.50306,0.96082,0.5203,0.65,0.5077,0.17541,1.75087,2.61715,0.85372,0.001043,0.001043,0.001043
147,1165.31,2.14634,1.51985,0.9666,0.43052,0.52081,0.40273,0.12144,1.8755,3.64415,0.84096,0.0010364,0.0010364,0.0010364
148,1171.3,2.09233,1.41359,0.9805,0.52561,0.56667,0.45217,0.15425,1.90676,2.5034,0.88111,0.0010298,0.0010298,0.0010298
149,1177.2,2.17799,1.51094,0.95979,0.49954,0.57222,0.44034,0.14763,1.79639,3.09448,0.83513,0.0010232,0.0010232,0.0010232
150,1182.93,2.18456,1.53069,0.98408,0.52654,0.58696,0.49458,0.17162,1.75865,3.24566,0.8443,0.0010166,0.0010166,0.0010166
151,1188.68,2.31298,1.61422,0.96309,0.4012,0.56111,0.35901,0.12114,1.75661,4.46189,0.83461,0.00101,0.00101,0.00101
152,1194.42,2.10554,1.50628,0.95782,0.40067,0.60912,0.37814,0.11833,1.81292,4.86995,0.86152,0.0010034,0.0010034,0.0010034
153,1199.74,2.06523,1.44249,0.94534,0.40145,0.62601,0.39107,0.12909,1.77271,5.10181,0.84651,0.0009968,0.0009968,0.0009968
154,1207.85,2.08195,1.51522,0.94847,0.46357,0.62892,0.423,0.14561,1.75051,3.5012,0.85722,0.0009902,0.0009902,0.0009902
155,1216.78,2.06217,1.47622,0.93261,0.52074,0.67222,0.51444,0.16033,1.73817,3.6092,0.87111,0.0009836,0.0009836,0.0009836
156,1226.4,2.12812,1.54002,0.9508,0.52376,0.64444,0.47244,0.15125,1.7188,3.74079,0.83134,0.000977,0.000977,0.000977
157,1234.2,2.10324,1.45819,0.9368,0.43248,0.63081,0.38948,0.14176,1.72586,2.84416,0.83343,0.0009704,0.0009704,0.0009704
158,1243.23,2.08927,1.50616,0.98011,0.42711,0.61111,0.39379,0.13778,1.74888,4.47779,0.83623,0.0009638,0.0009638,0.0009638
159,1252.15,2.09817,1.52103,0.95671,0.44852,0.58889,0.42229,0.13981,1.77447,3.23559,0.84718,0.0009572,0.0009572,0.0009572
160,1260.67,2.15379,1.53477,0.9783,0.46935,0.61111,0.43388,0.15294,1.79079,3.61116,0.86171,0.0009506,0.0009506,0.0009506
161,1268.85,2.20144,1.53111,0.94882,0.48149,0.61111,0.47263,0.14521,1.80451,2.24439,0.84124,0.000944,0.000944,0.000944
162,1277.52,2.16241,1.52661,0.96232,0.51064,0.61111,0.50352,0.16979,1.73533,2.90372,0.84106,0.0009374,0.0009374,0.0009374
163,1285.35,2.12169,1.45419,0.94335,0.50718,0.57778,0.46001,0.16188,1.79554,2.83274,0.84343,0.0009308,0.0009308,0.0009308
164,1293.85,2.14763,1.52386,0.93991,0.52245,0.55,0.47161,0.15433,1.82465,5.97705,0.85229,0.0009242,0.0009242,0.0009242
165,1302.09,2.10473,1.48213,0.98623,0.52998,0.53889,0.46668,0.16344,1.77169,3.04111,0.83888,0.0009176,0.0009176,0.0009176
166,1310.73,2.13168,1.47128,0.97429,0.52294,0.59682,0.49439,0.16776,1.69372,3.86388,0.81791,0.000911,0.000911,0.000911
167,1319.43,2.01981,1.43853,0.94309,0.50875,0.57222,0.4569,0.15119,1.81246,3.2262,0.85544,0.0009044,0.0009044,0.0009044
168,1328.32,2.06151,1.4694,0.95225,0.45315,0.60556,0.43505,0.14446,1.77445,2.84229,0.84356,0.0008978,0.0008978,0.0008978
169,1336.61,2.06699,1.44782,0.97109,0.4327,0.59748,0.40937,0.14108,1.74769,2.02571,0.81571,0.0008912,0.0008912,0.0008912
170,1345.46,2.05219,1.44419,0.97975,0.41954,0.61667,0.39816,0.13578,1.75358,4.11727,0.8229,0.0008846,0.0008846,0.0008846
171,1354.23,2.05166,1.49636,0.95573,0.48102,0.57671,0.47475,0.16482,1.75828,4.24598,0.83953,0.000878,0.000878,0.000878
172,1361.55,2.12153,1.47549,0.96633,0.48835,0.62222,0.46916,0.14983,1.74108,4.35719,0.84069,0.0008714,0.0008714,0.0008714
173,1370.09,2.05191,1.49442,0.94819,0.49193,0.6,0.46321,0.1536,1.79499,3.79669,0.8616,0.0008648,0.0008648,0.0008648
174,1378.66,2.134,1.52475,0.95796,0.45831,0.62778,0.45198,0.14316,1.81758,3.18314,0.86438,0.0008582,0.0008582,0.0008582
175,1386.31,2.19464,1.66666,0.97665,0.49251,0.61111,0.48431,0.17697,1.78738,2.71253,0.83557,0.0008516,0.0008516,0.0008516
176,1396.01,2.11565,1.4403,0.96629,0.41387,0.6,0.39905,0.12915,1.74455,4.01045,0.82077,0.000845,0.000845,0.000845
177,1405.33,1.9914,1.43313,0.94809,0.50061,0.60556,0.47309,0.1631,1.75758,3.41544,0.83732,0.0008384,0.0008384,0.0008384
