epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,3899.86,1.69855,1.37443,1.12584,0.59549,0.58069,0.58334,0.21274,2.21637,2.08718,1.20133,0.000878,0.000878,0.000878
172,3922.51,1.64448,1.30956,1.08657,0.40327,0.66111,0.45191,0.1785,2.1426,3.29315,1.18275,0.0008714,0.0008714,0.0008714
173,3945.24,1.62776,1.33291,1.07324,0.53529,0.58889,0.54361,0.21044,2.24415,3.00619,1.2019,0.0008648,0.0008648,0.0008648
174,3967.99,1.69517,1.36026,1.11782,0.46884,0.64444,0.52849,0.19284,2.25333,2.46313,1.23836,0.0008582,0.0008582,0.0008582
175,3990.66,1.70878,1.44661,1.12505,0.46503,0.69542,0.55497,0.20389,2.22299,2.05835,1.2005,0.0008516,0.0008516,0.0008516
176,4013.54,1.66088,1.3072,1.08965,0.41826,0.58716,0.47353,0.16719,2.20848,2.94896,1.20721,0.000845,0.000845,0.000845
177,4036.38,1.60836,1.30005,1.0791,0.4869,0.65371,0.55455,0.2029,2.20747,2.73633,1.20115,0.0008384,0.0008384,0.0008384
178,4058.98,1.68394,1.34225,1.09609,0.65186,0.61667,0.60302,0.22729,2.19754,2.52323,1.21767,0.0008318,0.0008318,0.0008318
179,4081.89,1.66164,1.35947,1.09322,0.38532,0.63889,0.46807,0.17151,2.23912,3.25895,1.24439,0.0008252,0.0008252,0.0008252
180,4104.48,1.61197,1.28139,1.08654,0.4546,0.68333,0.533,0.1984,2.13708,2.32427,1.17953,0.0008186,0.0008186,0.0008186
